Headline,URL,Month Published,FB Enagements,Category,
"""Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide""",http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,October,"2,176,777.00",Politics,
"""Woman arrested for defecating on boss’ desk after winning the lottery""",https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,April,"1,765,146.00",Crime,
"""Trump Offering Free One-Way Tickets to Africa &amp; Mexico for Those Who Wanna Leave America""",http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,November,"801,741.00",Politics,
"""Cinnamon Roll Can Explodes Inside Man’s Butt During Shoplifting Incident""",https://currentish.com/a-can-of-cinnamon-rolls-exploded-in-this-mans-rear-end-during-a-shoplifting-attempt/,April,"764,814.00",Politics,
"""Florida man dies in meth-lab explosion after lighting farts on fire"" ",https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,February,"668,842.00",Crime,
"""RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album""",http://www.firealive.it/rage-against-the-machine-to-reunite-and-release-anti-donald-trump-album/,March,"560,038.00",Crime,
"""Police Find 19 White Female Bodies In Freezers With “Black Lives Matter” Carved Into Skin""",http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,May,"525,066.00",Politics,
"""ISIS Leader Calls for American Muslim Voters to Support Hillary Clinton""",http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,October,"522,812.00",Crime,
Hillary Clinton In 2013: “I Would Like To See People Like Donald Trump Run For Office; They’re Honest And Can’t Be Bought”,http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,October ,"507,000.00",Politics,
"""Woman Stabbed Her Husband To Death Because He Wouldn't Eat Her ASS!""",http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,April,"444,568.00",Politics,
"""Robredo: If Elected Vice President Of Duterte, I Will Immediately Resign My Post""",https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,May,"442,915.00",Crime,
"""Woman murders college roommate for sending too many Candy Crush requests""",https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,March,"438,599.00",World,
"""Donald Trump Protester Speaks Out: ""I Was Paid $3,500 To Protest Trump's Rally""",http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,October,"426,972.00",Crime,
"""Drug Kingpin Joaquin 'El Chapo' Guzman Escapes Mexican Prison For The Third Time""",http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,October,"426,081.00",Politics,
Obama passed law for grandparents to get all their grandchildren every weekend,http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,October,"399,700.00",World,
"""President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected""",http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,September,"383,724.00",Politics,
"""Mexican Drug Lord ‘El Chapo’ Breaks Out Of Prison For 3rd Time"" ",http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,February,"380,645.00",Politics,
"Van Full Of Illegals Shows Up To Vote Clinton At SIX Polling Places, Still Think Voter Fraud Is A Myth?",http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,November,"366,702.00",World,
"""Chick-fil-A President Dan Cathy – 'We Don’t Like The Blacks Either'""",http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,July,"364,566.00",Politics,
